FBtr0475186	CR11023-RE	FBgn0031208	CR11023
FBtr0472692	CG46338-RA	FBgn0285962	CG46338
FBtr0472694	CG46338-RC	FBgn0285962	CG46338
FBtr0472693	CG46338-RB	FBgn0285962	CG46338
FBtr0472834	Ntmt-RB	FBgn0033457	Ntmt
FBtr0088375	Ntmt-RA	FBgn0033457	Ntmt
FBti0059662-RA	FBti0059662	FBti0059662	FBti0059662
FBtr0344920	lncRNA:CR45138-RB	FBgn0266631	lncRNA:CR45138
FBtr0344919	lncRNA:CR45138-RA	FBgn0266631	lncRNA:CR45138
FBti0059661-RA	FBti0059661	FBti0059661	FBti0059661
FBti0059663-RA	FBti0059663	FBti0059663	FBti0059663
FBti0019984-RA	FBti0019984	FBti0019984	FBti0019984
FBti0061742-RA	FBti0061742	FBti0061742	FBti0061742
FBti0019985-RA	FBti0019985	FBti0019985	FBti0019985
FBtr0088376	Lime-RA	FBgn0033458	Lime
FBti0061697-RA	FBti0061697	FBti0061697	FBti0061697
FBtr0088378	CG12744-RB	FBgn0033459	CG12744
FBtr0088377	CG12744-RA	FBgn0033459	CG12744
FBtr0339407	Sec24AB-RC	FBgn0033460	Sec24AB
FBtr0339406	Sec24AB-RB	FBgn0033460	Sec24AB
FBtr0088451	Sec24AB-RA	FBgn0033460	Sec24AB
FBtr0345976	asRNA:CR45467-RA	FBgn0267023	asRNA:CR45467
FBtr0331955	CG1513-RC	FBgn0033463	CG1513
FBtr0088450	CG1513-RA	FBgn0033463	CG1513
FBtr0302176	CG1513-RB	FBgn0033463	CG1513
FBtr0331953	CG12923-RB	FBgn0033461	CG12923
FBtr0088379	CG12923-RA	FBgn0033461	CG12923
FBtr0088380	CG30008-RA	FBgn0050008	CG30008
FBtr0300921	tea-RE	FBgn0285892	tea
FBtr0088381	tea-RB	FBgn0285892	tea
FBtr0300919	tea-RC	FBgn0285892	tea
FBtr0300920	tea-RD	FBgn0285892	tea
FBti0061707-RA	FBti0061707	FBti0061707	FBti0061707
FBtr0088449	CG1441-RB	FBgn0033464	CG1441
FBtr0088448	CG1441-RA	FBgn0033464	CG1441
FBtr0088383	FMRFa-RA	FBgn0000715	FMRFa
FBtr0308338	Etf-QO-RB	FBgn0286783	Etf-QO
FBtr0088384	Etf-QO-RA	FBgn0286783	Etf-QO
FBtr0088447	Mef2-RF	FBgn0011656	Mef2
FBtr0088445	Mef2-RC	FBgn0011656	Mef2
FBtr0330707	Mef2-RG	FBgn0011656	Mef2
FBtr0330708	Mef2-RH	FBgn0011656	Mef2
FBtr0479644	Mef2-RL	FBgn0011656	Mef2
FBtr0088443	Mef2-RD	FBgn0011656	Mef2
FBtr0088444	Mef2-RA	FBgn0011656	Mef2
FBtr0088446	Mef2-RB	FBgn0011656	Mef2
FBtr0479643	Mef2-RK	FBgn0011656	Mef2
FBtr0479642	Mef2-RJ	FBgn0011656	Mef2
FBtr0479641	Mef2-RI	FBgn0011656	Mef2
FBti0018877-RA	FBti0018877	FBti0018877	FBti0018877
FBtr0088441	Pdrg1-RA	FBgn0033467	Pdrg1
FBtr0088385	Pal1-RA	FBgn0283510	Pal1
FBtr0339423	Pal1-RD	FBgn0283510	Pal1
FBtr0339422	Pal1-RC	FBgn0283510	Pal1
FBtr0088440	CG1418-RA	FBgn0033468	CG1418
FBti0061709-RA	FBti0061709	FBti0061709	FBti0061709
FBtr0339424	CG12133-RB	FBgn0033469	CG12133
FBtr0088387	eIF3j-RA	FBgn0027619	eIF3j
FBtr0339425	eIF3j-RB	FBgn0027619	eIF3j
FBtr0479713	CG12134-RC	FBgn0033471	CG12134
FBtr0088388	CG12134-RA	FBgn0033471	CG12134
FBtr0479714	CG12134-RD	FBgn0033471	CG12134
FBtr0479695	asRNA:CR46453-RA	FBgn0287464	asRNA:CR46453
FBtr0479715	lncRNA:CR46455-RA	FBgn0287466	lncRNA:CR46455
FBtr0333552	asRNA:CR43948-RA	FBgn0264599	asRNA:CR43948
FBtr0088390	eve-RA	FBgn0000606	eve
FBtr0345681	lncRNA:CR45324-RA	FBgn0266863	lncRNA:CR45324
FBtr0088391	TER94-RA	FBgn0286784	TER94
FBtr0112906	TER94-RD	FBgn0286784	TER94
FBtr0112905	TER94-RC	FBgn0286784	TER94
FBtr0343852	TER94-RE	FBgn0286784	TER94
FBtr0088438	Pka-R2-RB	FBgn0022382	Pka-R2
FBtr0088437	Pka-R2-RA	FBgn0022382	Pka-R2
FBtr0112902	Pka-R2-RE	FBgn0022382	Pka-R2
FBtr0112901	Pka-R2-RD	FBgn0022382	Pka-R2
FBti0019279-RA	FBti0019279	FBti0019279	FBti0019279
FBtr0309690	mir-4967-RM	FBgn0263557	mir-4967
FBtr0309692	mir-4967-RB	FBtr0309692_df_nrg	FBtr0309692_df_nrg
FBtr0309691	mir-4967-RA	FBtr0309691_df_nrg	FBtr0309691_df_nrg
FBti0061746-RA	FBti0061746	FBti0061746	FBti0061746
FBti0061527-RA	FBti0061527	FBti0061527	FBti0061527
FBtr0339421	lncRNA:CR44294-RA	FBgn0265340	lncRNA:CR44294
FBtr0088394	CG12128-RB	FBgn0033473	CG12128
FBtr0088393	CG12128-RA	FBgn0033473	CG12128
FBtr0330325	CG1407-RD	FBgn0033474	CG1407
FBtr0088435	CG1407-RB	FBgn0033474	CG1407
FBtr0339418	CG1407-RE	FBgn0033474	CG1407
FBtr0339419	CG1407-RF	FBgn0033474	CG1407
FBtr0088436	CG1407-RA	FBgn0033474	CG1407
FBtr0339420	CG1407-RG	FBgn0033474	CG1407
FBtr0300719	CG1407-RC	FBgn0033474	CG1407
FBtr0088395	CG12129-RA	FBgn0033475	CG12129
FBtr0345630	oys-RE	FBgn0033476	oys
FBtr0345629	oys-RD	FBgn0033476	oys
FBtr0339416	oys-RB	FBgn0033476	oys
FBtr0088434	oys-RA	FBgn0033476	oys
FBtr0112413	CG34220-RA	FBgn0085249	CG34220
FBtr0344611	lncRNA:CR44295-RB	FBgn0265341	lncRNA:CR44295
FBtr0339412	COX7C-RD	FBgn0040773	COX7C
FBtr0339411	COX7C-RC	FBgn0040773	COX7C
FBtr0088397	COX7C-RB	FBgn0040773	COX7C
FBtr0088396	COX7C-RA	FBgn0040773	COX7C
FBtr0339413	CG44296-RA	FBgn0265342	CG44296
FBtr0088433	sel-RA	FBgn0263260	sel
FBtr0113062	magu-RF	FBgn0262169	magu
FBtr0088401	magu-RA	FBgn0262169	magu
FBtr0088399	magu-RD	FBgn0262169	magu
FBtr0339415	asRNA:CR44297-RA	FBgn0265343	asRNA:CR44297
FBtr0339414	lncRNA:CR44298-RA	FBgn0265344	lncRNA:CR44298
FBtr0088432	Def-RA	FBgn0010385	Def
FBtr0088402	magu-RB	FBgn0262169	magu
FBtr0088431	PIG-N-RA	FBgn0033479	PIG-N
FBtr0088403	mRpL42-RA	FBgn0033480	mRpL42
FBtr0304041	mRpL42-RB	FBgn0033480	mRpL42
FBtr0088429	Cdc2rk-RA	FBgn0013435	Cdc2rk
FBtr0088404	CG12920-RA	FBgn0033481	CG12920
FBtr0088428	CG1371-RA	FBgn0033482	CG1371
FBtr0088406	egr-RB	FBgn0033483	egr
FBtr0088405	egr-RA	FBgn0033483	egr
FBtr0474084	snoRNA:Or-ACA7-RA	FBgn0286727	snoRNA:Or-ACA7
FBtr0309751	scaRNA:MeU1b-A234-RA	FBgn0263201	scaRNA:MeU1b-A234
FBtr0474083	snoRNA:Or-ACA6-RA	FBgn0286726	snoRNA:Or-ACA6
FBtr0474082	snoRNA:Or-CD13-RA	FBgn0286728	snoRNA:Or-CD13
FBtr0305653	CG2269-RD	FBgn0033484	CG2269
FBtr0089674	sut4-RA	FBgn0028560	sut4
FBtr0088409	CG2269-RB	FBgn0033484	CG2269
FBtr0088408	CG2269-RA	FBgn0033484	CG2269
FBtr0088407	CG2269-RC	FBgn0033484	CG2269
FBtr0088410	Jra-RB	FBgn0001291	Jra
FBtr0088411	Jra-RA	FBgn0001291	Jra
FBtr0330606	Jra-RC	FBgn0001291	Jra
FBtr0088425	RpLP0-like-RA	FBgn0033485	RpLP0-like
FBtr0088418	14-3-3zeta-RH	FBgn0004907	14-3-3zeta
FBtr0088412	14-3-3zeta-RB	FBgn0004907	14-3-3zeta
FBtr0088416	14-3-3zeta-RF	FBgn0004907	14-3-3zeta
FBtr0088415	14-3-3zeta-RE	FBgn0004907	14-3-3zeta
FBtr0100183	14-3-3zeta-RJ	FBgn0004907	14-3-3zeta
FBtr0088414	14-3-3zeta-RD	FBgn0004907	14-3-3zeta
FBtr0088417	14-3-3zeta-RG	FBgn0004907	14-3-3zeta
FBtr0088413	14-3-3zeta-RA	FBgn0004907	14-3-3zeta
FBtr0100182	14-3-3zeta-RI	FBgn0004907	14-3-3zeta
FBtr0088419	14-3-3zeta-RC	FBgn0004907	14-3-3zeta
FBtr0332916	14-3-3zeta-RK	FBgn0004907	14-3-3zeta
FBtr0332917	14-3-3zeta-RL	FBgn0004907	14-3-3zeta
FBtr0304925	Pfk-RD	FBgn0003071	Pfk
FBtr0088420	Pfk-RA	FBgn0003071	Pfk
FBtr0333067	Pfk-RE	FBgn0003071	Pfk
FBtr0088422	Pfk-RB	FBgn0003071	Pfk
FBtr0088421	Pfk-RC	FBgn0003071	Pfk
FBtr0088423	dmpd-RA	FBgn0033486	dmpd
FBtr0304926	dmpd-RB	FBgn0033486	dmpd
FBtr0333068	Ccs-RC	FBgn0010531	Ccs
FBtr0300944	Ccs-RB	FBgn0010531	Ccs
FBtr0452136	CG46319-RB	FBgn0284235	CG46319
FBtr0089758	gem-RC	FBgn0050011	gem
FBtr0452135	CG46319-RA	FBgn0284235	CG46319
FBtr0089759	gem-RA	FBgn0050011	gem
FBtr0452137	CG46319-RC	FBgn0284235	CG46319
FBtr0346634	gem-RG	FBgn0050011	gem
FBtr0339428	gem-RF	FBgn0050011	gem
FBtr0290287	CG12917-RB	FBgn0033490	CG12917
FBtr0309291	asRNA:CR43467-RB	FBgn0263444	asRNA:CR43467
FBtr0309290	asRNA:CR43467-RA	FBgn0263444	asRNA:CR43467
FBtr0088330	Or46a-RA	FBgn0026388	Or46a
FBtr0088331	Or46a-RB	FBgn0026388	Or46a
FBtr0088332	CG18011-RA	FBgn0033491	CG18011
FBtr0301444	KCNQ-RF	FBgn0033494	KCNQ
FBtr0310096	KCNQ-RJ	FBgn0033494	KCNQ
FBtr0310095	KCNQ-RI	FBgn0033494	KCNQ
FBtr0310093	KCNQ-RG	FBgn0033494	KCNQ
FBtr0299833	KCNQ-RD	FBgn0033494	KCNQ
FBtr0301443	KCNQ-RE	FBgn0033494	KCNQ
FBtr0310097	KCNQ-RK	FBgn0033494	KCNQ
FBtr0310094	KCNQ-RH	FBgn0033494	KCNQ
FBtr0299832	KCNQ-RC	FBgn0033494	KCNQ
FBtr0344913	asRNA:CR45133-RA	FBgn0266626	asRNA:CR45133
FBtr0344914	asRNA:CR45133-RB	FBgn0266626	asRNA:CR45133
FBtr0331945	mlt-RC	FBgn0265512	mlt
FBtr0088370	mlt-RA	FBgn0265512	mlt
FBtr0088369	mlt-RB	FBgn0265512	mlt
FBti0019018-RA	FBti0019018	FBti0019018	FBti0019018
FBtr0345476	CG34221-RC	FBgn0085250	CG34221
FBtr0299834	CG34221-RB	FBgn0085250	CG34221
FBtr0452140	Hr3-RI	FBgn0000448	Hr3
FBtr0306345	Hr3-RF	FBgn0000448	Hr3
FBtr0112799	Hr3-RD	FBgn0000448	Hr3
FBtr0088368	Hr3-RA	FBgn0000448	Hr3
FBtr0088366	Hr3-RC	FBgn0000448	Hr3
FBtr0330609	Hr3-RH	FBgn0000448	Hr3
FBtr0339429	CG12912-RB	FBgn0033497	CG12912
FBtr0452141	CG46321-RA	FBgn0284237	CG46321
FBtr0452143	lncRNA:CR46322-RA	FBgn0284238	lncRNA:CR46322
FBtr0452142	CG46321-RB	FBgn0284237	CG46321
FBtr0088365	CG12912-RA	FBgn0033497	CG12912
FBtr0345475	lncRNA:CR45265-RA	FBgn0266803	lncRNA:CR45265
FBtr0345474	Hdc-RD	FBgn0005619	Hdc
FBtr0331924	Hdc-RC	FBgn0005619	Hdc
FBtr0331923	Hdc-RB	FBgn0005619	Hdc
FBtr0088333	Hdc-RA	FBgn0005619	Hdc
FBtr0088364	CG12209-RA	FBgn0033498	CG12209
FBtr0339449	CG12914-RC	FBgn0033499	CG12914
FBtr0088334	CG12914-RA	FBgn0033499	CG12914
FBtr0339448	CG12914-RB	FBgn0033499	CG12914
FBtr0088335	CG12913-RA	FBgn0033500	CG12913
FBtr0339450	CG12913-RB	FBgn0033500	CG12913
FBtr0339455	Syb-RE	FBgn0003660	Syb
FBtr0273274	Syb-RC	FBgn0003660	Syb
FBtr0088363	Syb-RB	FBgn0003660	Syb
FBtr0273275	Syb-RD	FBgn0003660	Syb
FBtr0088362	Syb-RA	FBgn0003660	Syb
FBtr0339451	CG12911-RC	FBgn0033501	CG12911
FBtr0289962	CG12911-RB	FBgn0033501	CG12911
FBtr0339454	CG12911-RF	FBgn0033501	CG12911
FBtr0339453	CG12911-RE	FBgn0033501	CG12911
FBtr0339452	CG12911-RD	FBgn0033501	CG12911
FBtr0088336	CG12911-RA	FBgn0033501	CG12911
FBtr0088361	lncRNA:CR30009-RA	FBgn0050009	lncRNA:CR30009
FBtr0303450	lncRNA:CR30009-RB	FBgn0050009	lncRNA:CR30009
FBtr0310141	CG12910-RB	FBgn0033502	CG12910
FBtr0310142	CG12910-RC	FBgn0033502	CG12910
FBtr0088337	CG12910-RA	FBgn0033502	CG12910
FBtr0088338	CAP-RI	FBgn0033504	CAP
FBtr0299829	CAP-RO	FBgn0033504	CAP
FBtr0306688	CAP-RS	FBgn0033504	CAP
FBtr0088339	CAP-RH	FBgn0033504	CAP
FBtr0088347	CAP-RJ	FBgn0033504	CAP
FBtr0299825	CAP-RK	FBgn0033504	CAP
FBtr0088340	CAP-RG	FBgn0033504	CAP
FBtr0479881	CAP-RAE	FBgn0033504	CAP
FBtr0088341	CAP-RA	FBgn0033504	CAP
FBtr0479879	CAP-RAC	FBgn0033504	CAP
FBtr0299830	CAP-RP	FBgn0033504	CAP
FBtr0336695	CAP-RX	FBgn0033504	CAP
FBtr0336696	CAP-RY	FBgn0033504	CAP
FBtr0306691	CAP-RV	FBgn0033504	CAP
FBtr0301131	CAP-RQ	FBgn0033504	CAP
FBtr0479878	CAP-RAB	FBgn0033504	CAP
FBtr0299826	CAP-RL	FBgn0033504	CAP
FBtr0336694	CAP-RW	FBgn0033504	CAP
FBtr0479880	CAP-RAD	FBgn0033504	CAP
FBtr0088343	CAP-RC	FBgn0033504	CAP
FBtr0479877	CAP-RAA	FBgn0033504	CAP
FBtr0306690	CAP-RU	FBgn0033504	CAP
FBtr0088342	CAP-RF	FBgn0033504	CAP
FBtr0301965	CAP-RR	FBgn0033504	CAP
FBtr0088344	CAP-RB	FBgn0033504	CAP
FBtr0088345	CAP-RD	FBgn0033504	CAP
FBtr0088346	CAP-RE	FBgn0033504	CAP
FBtr0299828	CAP-RN	FBgn0033504	CAP
FBtr0088360	RNaseZ-RB	FBgn0028426	RNaseZ
FBtr0088348	CG12909-RA	FBgn0033507	CG12909
FBtr0088359	Obp46a-RA	FBgn0033508	Obp46a
FBtr0088349	Ndg-RA	FBgn0026403	Ndg
FBtr0339459	Ndg-RC	FBgn0026403	Ndg
FBtr0112415	CG34222-RA	FBgn0250822	CG34222
FBtr0329872	SLO2-RL	FBgn0261698	SLO2
FBtr0329938	SLO2-RN	FBgn0261698	SLO2
FBtr0330616	SLO2-RO	FBgn0261698	SLO2
FBtr0303082	SLO2-RF	FBgn0261698	SLO2
FBtr0303080	SLO2-RD	FBgn0261698	SLO2
FBtr0303083	SLO2-RG	FBgn0261698	SLO2
FBtr0303081	SLO2-RE	FBgn0261698	SLO2
FBtr0305946	SLO2-RH	FBgn0261698	SLO2
FBtr0329869	SLO2-RI	FBgn0261698	SLO2
FBtr0452099	CG46305-RA	FBgn0284083	CG46305
FBtr0452100	CG46305-RB	FBgn0284083	CG46305
FBtr0306077	CG43200-RA	FBgn0262836	CG43200
FBtr0305907	CG43172-RA	FBgn0262791	CG43172
FBtr0346509	CG43172-RB	FBgn0262791	CG43172
FBtr0339458	CG43201-RB	FBgn0262837	CG43201
FBtr0306076	CG43201-RA	FBgn0262837	CG43201
FBtr0339457	CG43171-RB	FBgn0262790	CG43171
FBtr0305906	CG43171-RA	FBgn0262790	CG43171
FBtr0346951	CG43171-RC	FBgn0262790	CG43171
FBtr0346950	CG43178-RC	FBgn0262807	CG43178
FBtr0339456	CG43178-RB	FBgn0262807	CG43178
FBtr0305948	CG43178-RA	FBgn0262807	CG43178
FBtr0445675	CG46298-RA	FBgn0283625	CG46298
FBtr0445676	CG46298-RB	FBgn0283625	CG46298
FBtr0308494	CG43397-RB	FBgn0263271	CG43397
FBtr0308493	CG43397-RA	FBgn0263271	CG43397
FBtr0088357	CG12902-RB	FBgn0033512	CG12902
FBtr0305905	CG12902-RC	FBgn0033512	CG12902
FBtr0088356	CG12902-RA	FBgn0033512	CG12902
FBtr0303086	CG42733-RD	FBgn0261686	CG42733
FBtr0303084	CG42733-RC	FBgn0261686	CG42733
FBtr0303085	CG42733-RB	FBgn0261686	CG42733
FBtr0308492	CG43396-RA	FBgn0263270	CG43396
FBtr0303149	Gr47a-RB	FBgn0041242	Gr47a
FBtr0336973	Ir47b-RA	FBgn0265141	Ir47b
FBtr0088323	Ir47a-RA	FBgn0033515	Ir47a
FBtr0088321	CG12898-RA	FBgn0033516	CG12898
FBtr0475130	CR43177-RC	FBgn0262806	CR43177
FBtr0088320	CG33477-RA	FBgn0053477	CG33477
FBtr0088319	CG33476-RA	FBgn0053476	CG33476
FBtr0088318	CG33475-RA	FBgn0053475	CG33475
FBtr0088259	Prx2540-2-RA	FBgn0033518	Prx2540-2
FBti0062275-RA	FBti0062275	FBti0062275	FBti0062275
FBtr0088316	CG11825-RA	FBgn0033519	CG11825
FBtr0329868	CG11825-RD	FBgn0033519	CG11825
FBtr0329867	CG11825-RC	FBgn0033519	CG11825
FBtr0088260	CG33474-RA	FBgn0053474	CG33474
FBtr0345937	CG33474-RB	FBgn0053474	CG33474
FBtr0088261	Prx2540-1-RA	FBgn0033520	Prx2540-1
FBti0062276-RA	FBti0062276	FBti0062276	FBti0062276
FBti0062281-RA	FBti0062281	FBti0062281	FBti0062281
FBti0062277-RA	FBti0062277	FBti0062277	FBti0062277
FBtr0088315	CG12896-RA	FBgn0033521	CG12896
FBtr0346961	RanBPM-RG	FBgn0262114	RanBPM
FBtr0088263	RanBPM-RA	FBgn0262114	RanBPM
FBtr0088262	RanBPM-RC	FBgn0262114	RanBPM
FBtr0306247	RanBPM-RE	FBgn0262114	RanBPM
FBtr0100460	RanBPM-RD	FBgn0262114	RanBPM
FBtr0330614	RanBPM-RF	FBgn0262114	RanBPM
FBtr0330615	CG12895-RB	FBgn0033523	CG12895
FBtr0088314	CG12895-RA	FBgn0033523	CG12895
FBtr0088264	Galphao-RB	FBgn0001122	Galphao
FBtr0088265	Galphao-RC	FBgn0001122	Galphao
FBtr0088267	Galphao-RD	FBgn0001122	Galphao
FBtr0088268	Galphao-RE	FBgn0001122	Galphao
FBtr0088269	Galphao-RF	FBgn0001122	Galphao
FBtr0088270	Galphao-RG	FBgn0001122	Galphao
FBtr0088271	Galphao-RH	FBgn0001122	Galphao
FBtr0088266	Galphao-RA	FBgn0001122	Galphao
FBtr0088272	Galphao-RI	FBgn0001122	Galphao
FBtr0304592	Cyp49a1-RE	FBgn0033524	Cyp49a1
FBtr0088311	Cyp49a1-RA	FBgn0033524	Cyp49a1
FBtr0088313	Cyp49a1-RD	FBgn0033524	Cyp49a1
FBtr0088312	Cyp49a1-RC	FBgn0033524	Cyp49a1
FBtr0333064	Galphao-RJ	FBgn0001122	Galphao
FBtr0088310	Caf1-105-RA	FBgn0033526	Caf1-105
FBtr0088273	CG11777-RA	FBgn0033527	CG11777
FBtr0088308	whd-RB	FBgn0261862	whd
FBtr0088307	whd-RA	FBgn0261862	whd
FBtr0301281	whd-RC	FBgn0261862	whd
FBtr0301282	whd-RD	FBgn0261862	whd
FBtr0345623	asRNA:CR45134-RB	FBgn0266627	asRNA:CR45134
FBtr0344915	asRNA:CR45134-RA	FBgn0266627	asRNA:CR45134
FBtr0088306	trsn-RA	FBgn0033528	trsn
FBtr0088274	CG17765-RA	FBgn0033529	CG17765
FBtr0347597	pre-lola-G-RD	FBgn0264817	pre-lola-G
FBtr0347596	pre-lola-G-RC	FBgn0264817	pre-lola-G
FBtr0089347	lola-RG	FBgn0283521	lola
FBtr0089357	lola-RR	FBgn0283521	lola
FBtr0089365	lola-RX	FBgn0283521	lola
FBtr0089366	lola-RY	FBgn0283521	lola
FBtr0089364	lola-RW	FBgn0283521	lola
FBtr0089361	lola-RO	FBgn0283521	lola
FBtr0089360	lola-RJ	FBgn0283521	lola
FBtr0089355	lola-RP	FBgn0283521	lola
FBtr0089346	lola-RH	FBgn0283521	lola
FBtr0089343	lola-RB	FBgn0283521	lola
FBtr0089345	lola-RC	FBgn0283521	lola
FBtr0343132	lola-RAA	FBgn0283521	lola
FBtr0089350	lola-RI	FBgn0283521	lola
FBtr0089359	lola-RT	FBgn0283521	lola
FBtr0089351	lola-RU	FBgn0283521	lola
FBtr0089348	lola-RF	FBgn0283521	lola
FBtr0089353	lola-RK	FBgn0283521	lola
FBtr0089363	lola-RV	FBgn0283521	lola
FBtr0089342	lola-RE	FBgn0283521	lola
FBtr0089349	lola-RD	FBgn0283521	lola
FBtr0100286	lola-RZ	FBgn0283521	lola
FBtr0089344	lola-RA	FBgn0283521	lola
FBtr0089352	lola-RL	FBgn0283521	lola
FBtr0089356	lola-RQ	FBgn0283521	lola
FBtr0089362	lola-RM	FBgn0283521	lola
FBtr0309765	snoRNA:lola-a-RA	FBgn0263466	snoRNA:lola-a
FBtr0309780	snoRNA:lola-b-RA	FBgn0263481	snoRNA:lola-b
FBtr0309781	snoRNA:lola-c-RA	FBgn0263482	snoRNA:lola-c
FBtr0309782	snoRNA:lola-d-RA	FBgn0263483	snoRNA:lola-d
FBtr0344916	asRNA:CR45135-RA	FBgn0266628	asRNA:CR45135
FBtr0445179	lncRNA:acal-RA	FBgn0283426	lncRNA:acal
FBti0062278-RA	FBti0062278	FBti0062278	FBti0062278
FBtr0346958	psq-RN	FBgn0263102	psq
FBtr0479799	psq-RO	FBgn0263102	psq
FBtr0088276	psq-RA	FBgn0263102	psq
FBtr0088282	psq-RC	FBgn0263102	psq
FBtr0330607	psq-RM	FBgn0263102	psq
FBtr0088275	psq-RB	FBgn0263102	psq
FBtr0088277	psq-RE	FBgn0263102	psq
FBtr0088280	psq-RG	FBgn0263102	psq
FBtr0088279	psq-RF	FBgn0263102	psq
FBtr0100607	psq-RK	FBgn0263102	psq
FBtr0479801	psq-RQ	FBgn0263102	psq
FBtr0088278	psq-RD	FBgn0263102	psq
FBtr0088281	psq-RH	FBgn0263102	psq
FBtr0100606	psq-RJ	FBgn0263102	psq
FBtr0479800	psq-RP	FBgn0263102	psq
FBti0018946-RA	FBti0018946	FBti0018946	FBti0018946
FBtr0339461	CG11883-RD	FBgn0033538	CG11883
FBtr0088284	CG11883-RA	FBgn0033538	CG11883
FBtr0088283	CG11883-RB	FBgn0033538	CG11883
FBtr0113063	CG11883-RC	FBgn0033538	CG11883
FBti0059781-RA	FBti0059781	FBti0059781	FBti0059781
FBti0019987-RA	FBti0019987	FBti0019987	FBti0019987
FBtr0088258	Git-RA	FBgn0033539	Git
FBtr0088212	Elp2-RA	FBgn0033540	Elp2
FBtr0088213	CG12934-RA	FBgn0033541	CG12934
FBtr0339462	CG12934-RB	FBgn0033541	CG12934
FBtr0340511	lncRNA:CR44452-RA	FBgn0265645	lncRNA:CR44452
FBti0059739-RA	FBti0059739	FBti0059739	FBti0059739
FBtr0347524	lncRNA:CR46229-RA	FBgn0267949	lncRNA:CR46229
FBtr0330601	stan-RF	FBgn0024836	stan
FBtr0339463	stan-RG	FBgn0024836	stan
FBtr0304899	stan-RD	FBgn0024836	stan
FBtr0304900	stan-RE	FBgn0024836	stan
FBtr0303223	stan-RC	FBgn0024836	stan
FBtr0088214	stan-RA	FBgn0024836	stan
FBtr0300578	stan-RB	FBgn0024836	stan
FBtr0088257	Rab3-RA	FBgn0005586	Rab3
FBtr0473383	Rab3-RB	FBgn0005586	Rab3
FBtr0088215	CAH13-RA	FBgn0033542	CAH13
FBtr0088256	CG12338-RA	FBgn0033543	CG12338
FBtr0345662	CG12338-RB	FBgn0033543	CG12338
FBtr0088216	CG7220-RA	FBgn0033544	CG7220
FBtr0088219	CG7220-RD	FBgn0033544	CG7220
FBtr0088217	CG7220-RC	FBgn0033544	CG7220
FBtr0113064	CG7220-RE	FBgn0033544	CG7220
FBtr0339465	CG7220-RF	FBgn0033544	CG7220
FBtr0088218	CG7220-RB	FBgn0033544	CG7220
FBtr0088255	Mat1-RA	FBgn0024956	Mat1
FBtr0302517	CG33144-RB	FBgn0053144	CG33144
FBtr0088254	CG33144-RA	FBgn0053144	CG33144
FBtr0309816	lncRNA:CR43605-RA	FBgn0263802	lncRNA:CR43605
FBtr0344612	lncRNA:CR44299-RB	FBgn0265345	lncRNA:CR44299
FBtr0339469	lncRNA:CR44300-RA	FBgn0265346	lncRNA:CR44300
FBtr0339468	lncRNA:CR44301-RA	FBgn0265347	lncRNA:CR44301
FBtr0304706	mthl13-RD	FBgn0050018	mthl13
FBti0062311-RA	FBti0062311	FBti0062311	FBti0062311
FBtr0339467	wde-RB	FBgn0027499	wde
FBtr0088253	wde-RA	FBgn0027499	wde
FBti0062302-RA	FBti0062302	FBti0062302	FBti0062302
FBtr0088221	CG12935-RA	FBgn0033547	CG12935
FBtr0332886	CG12935-RB	FBgn0033547	CG12935
FBtr0088252	CG7637-RA	FBgn0033548	CG7637
FBtr0088222	mms4-RA	FBgn0033549	mms4
FBtr0088251	CG12341-RA	FBgn0033550	CG12341
FBtr0345945	CG7222-RB	FBgn0033551	CG7222
FBtr0088223	CG7222-RA	FBgn0033551	CG7222
FBtr0088250	dgo-RB	FBgn0086898	dgo
FBtr0088249	dgo-RA	FBgn0086898	dgo
FBtr0088225	Prosbeta5-RA	FBgn0029134	Prosbeta5
FBtr0088224	Prosbeta5-RB	FBgn0029134	Prosbeta5
FBtr0088248	Lsm10-RA	FBgn0033554	Lsm10
FBtr0088226	RpS15Ab-RA	FBgn0033555	RpS15Ab
FBtr0088247	CG12343-RA	FBgn0033556	CG12343
FBtr0345930	CG12325-RB	FBgn0033557	CG12325
FBtr0088227	CG12325-RA	FBgn0033557	CG12325
FBtr0339478	CG12344-RD	FBgn0033558	CG12344
FBtr0088246	CG12344-RA	FBgn0033558	CG12344
FBtr0339477	CG12344-RC	FBgn0033558	CG12344
FBtr0339476	CG12344-RB	FBgn0033558	CG12344
FBtr0339475	LTV1-RB	FBgn0027525	LTV1
FBtr0088245	LTV1-RA	FBgn0027525	LTV1
FBtr0088243	CG30015-RB	FBgn0050015	CG30015
FBtr0113357	CG30015-RD	FBgn0050015	CG30015
FBtr0113356	CG30015-RC	FBgn0050015	CG30015
FBtr0331938	CG30015-RF	FBgn0050015	CG30015
FBtr0088242	CG30015-RA	FBgn0050015	CG30015
FBtr0306393	CG30015-RE	FBgn0050015	CG30015
FBtr0331939	CG30015-RG	FBgn0050015	CG30015
FBtr0344917	asRNA:CR45136-RA	FBgn0266629	asRNA:CR45136
FBtr0339470	lncRNA:CR44302-RA	FBgn0265348	lncRNA:CR44302
FBtr0088241	CG30016-RA	FBgn0050016	CG30016
FBti0062309-RA	FBti0062309	FBti0062309	FBti0062309
FBtr0088228	nclb-RA	FBgn0263510	nclb
